Cidade,Estado,Sigla
Cruzília,Minas Gerais,MG
Cuparaque,Minas Gerais,MG
Curral de Dentro,Minas Gerais,MG
Curvelo,Minas Gerais,MG
Datas,Minas Gerais,MG
Delfim Moreira,Minas Gerais,MG
Delfinópolis,Minas Gerais,MG
Delta,Minas Gerais,MG
Descoberto,Minas Gerais,MG
Desterro de Entre Rios,Minas Gerais,MG
Desterro do Melo,Minas Gerais,MG
Diamantina,Minas Gerais,MG
Diogo de Vasconcelos,Minas Gerais,MG
Dionísio,Minas Gerais,MG
Divinésia,Minas Gerais,MG
Divino,Minas Gerais,MG
Divino das Laranjeiras,Minas Gerais,MG
Divinolândia de Minas,Minas Gerais,MG
Divinópolis,Minas Gerais,MG
Divisa Alegre,Minas Gerais,MG
Divisa Nova,Minas Gerais,MG
Divisópolis,Minas Gerais,MG
Dom Bosco,Minas Gerais,MG
Dom Cavati,Minas Gerais,MG
Dom Joaquim,Minas Gerais,MG
Dom Silvério,Minas Gerais,MG
Dom Viçoso,Minas Gerais,MG
Dona Eusébia,Minas Gerais,MG
Dores de Campos,Minas Gerais,MG
Dores de Guanhães,Minas Gerais,MG
Dores do Indaiá,Minas Gerais,MG
Dores do Turvo,Minas Gerais,MG
Doresópolis,Minas Gerais,MG
Douradoquara,Minas Gerais,MG
Durandé,Minas Gerais,MG
Elói Mendes,Minas Gerais,MG
Engenheiro Caldas,Minas Gerais,MG
Engenheiro Navarro,Minas Gerais,MG
Entre Folhas,Minas Gerais,MG
Entre Rios de Minas,Minas Gerais,MG
Ervália,Minas Gerais,MG
Esmeraldas,Minas Gerais,MG
Espera Feliz,Minas Gerais,MG
Espinosa,Minas Gerais,MG
Espírito Santo do Dourado,Minas Gerais,MG
Estiva,Minas Gerais,MG
Estrela Dalva,Minas Gerais,MG
Estrela do Indaiá,Minas Gerais,MG
Estrela do Sul,Minas Gerais,MG
Eugenópolis,Minas Gerais,MG
Ewbank da Câmara,Minas Gerais,MG
Extrema,Minas Gerais,MG
Fama,Minas Gerais,MG
Faria Lemos,Minas Gerais,MG
Felício dos Santos,Minas Gerais,MG
Felisburgo,Minas Gerais,MG
Felixlândia,Minas Gerais,MG
Fernandes Tourinho,Minas Gerais,MG
Ferros,Minas Gerais,MG
Fervedouro,Minas Gerais,MG
Florestal,Minas Gerais,MG
Formiga,Minas Gerais,MG
